,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Economies and Consumers Annual Data | Historical,,,,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,2018,2019,2020,2021,2022,2023
American Samoa,Divorce Rates,Socio-economic indicators,per '000 population,-,1.2,1.4,1.1,1.2,1.2,1.2
Armenia,Divorce Rates,Socio-economic indicators,per '000 population,-,1.3,1.5,1.1,1.6,1.6,1.6
Azerbaijan,Divorce Rates,Socio-economic indicators,per '000 population,-,1.5,1.7,1.5,1.7,1.6,1.7
Brunei Darussalam,Divorce Rates,Socio-economic indicators,per '000 population,-,1.3,1.5,1.4,1.0,1.2,1.1
China,Divorce Rates,Socio-economic indicators,per '000 population,-,3.2,3.3,3.1,2.0,2.0,2.0
Guam,Divorce Rates,Socio-economic indicators,per '000 population,-,3.4,4.3,3.4,3.8,3.6,3.7
"Hong Kong, China",Divorce Rates,Socio-economic indicators,per '000 population,-,2.7,2.8,2.1,2.3,1.8,1.7
Indonesia,Divorce Rates,Socio-economic indicators,per '000 population,-,1.5,1.6,1.1,1.4,1.7,1.7
Japan,Divorce Rates,Socio-economic indicators,per '000 population,-,1.6,1.6,1.5,1.5,1.7,1.7
Kazakhstan,Divorce Rates,Socio-economic indicators,per '000 population,-,3.0,3.2,2.5,2.5,2.6,2.6
Kyrgyzstan,Divorce Rates,Socio-economic indicators,per '000 population,-,1.7,1.7,1.4,1.8,1.6,1.7
"Macau, China",Divorce Rates,Socio-economic indicators,per '000 population,-,2.4,2.2,2.0,1.9,1.6,1.8
Malaysia,Divorce Rates,Socio-economic indicators,per '000 population,-,1.6,1.8,1.5,1.3,1.4,1.4
Maldives,Divorce Rates,Socio-economic indicators,per '000 population,-,6.5,7.0,5.8,6.2,6.0,6.1
Mongolia,Divorce Rates,Socio-economic indicators,per '000 population,-,1.3,1.3,1.0,1.0,1.3,1.2
New Caledonia,Divorce Rates,Socio-economic indicators,per '000 population,-,1.3,1.3,1.1,1.2,1.1,1.2
Singapore,Divorce Rates,Socio-economic indicators,per '000 population,-,1.3,1.3,1.2,1.4,1.3,1.3
South Korea,Divorce Rates,Socio-economic indicators,per '000 population,-,2.1,2.1,2.1,2.0,1.8,1.8
Sri Lanka,Divorce Rates,Socio-economic indicators,per '000 population,-,0.2,0.2,0.2,0.2,0.2,0.2
Taiwan,Divorce Rates,Socio-economic indicators,per '000 population,-,2.3,2.3,2.2,2.0,2.3,2.2
Tajikistan,Divorce Rates,Socio-economic indicators,per '000 population,-,1.2,1.3,1.1,1.2,1.1,1.2
Thailand,Divorce Rates,Socio-economic indicators,per '000 population,-,1.8,1.8,1.7,1.5,2.0,2.0
Turkmenistan,Divorce Rates,Socio-economic indicators,per '000 population,-,0.9,0.9,0.8,0.8,0.9,0.8
Uzbekistan,Divorce Rates,Socio-economic indicators,per '000 population,-,1.0,1.0,0.8,1.2,1.4,1.3
Vietnam,Divorce Rates,Socio-economic indicators,per '000 population,-,0.3,0.3,0.2,0.2,0.3,0.3
Australia,Divorce Rates,Socio-economic indicators,per '000 population,-,2.0,1.9,1.9,2.2,2.1,2.1
New Zealand,Divorce Rates,Socio-economic indicators,per '000 population,-,1.5,1.7,1.5,1.2,1.5,1.5
Albania,Divorce Rates,Socio-economic indicators,per '000 population,-,1.7,2.0,1.5,1.1,1.3,1.2
Belarus,Divorce Rates,Socio-economic indicators,per '000 population,-,3.5,3.7,3.7,3.7,3.7,3.7
Bosnia and Herzegovina,Divorce Rates,Socio-economic indicators,per '000 population,-,0.9,0.8,0.8,0.8,0.8,0.8
Bulgaria,Divorce Rates,Socio-economic indicators,per '000 population,-,1.6,1.6,1.4,1.5,1.5,1.4
Croatia,Divorce Rates,Socio-economic indicators,per '000 population,-,1.5,1.5,1.3,1.3,1.3,1.4
Czech Republic,Divorce Rates,Socio-economic indicators,per '000 population,-,2.3,2.3,2.1,2.0,1.9,1.8
Estonia,Divorce Rates,Socio-economic indicators,per '000 population,-,2.4,2.1,1.9,1.9,1.9,1.8
Georgia,Divorce Rates,Socio-economic indicators,per '000 population,-,2.8,3.0,2.1,2.9,3.8,3.7
Hungary,Divorce Rates,Socio-economic indicators,per '000 population,-,1.7,1.8,1.5,1.9,1.8,1.8
Kosovo,Divorce Rates,Socio-economic indicators,per '000 population,-,0.6,0.5,0.4,0.4,0.4,0.4
Latvia,Divorce Rates,Socio-economic indicators,per '000 population,-,3.1,3.1,2.7,2.5,2.9,2.8
Lithuania,Divorce Rates,Socio-economic indicators,per '000 population,-,3.1,3.1,2.7,2.8,2.6,2.7
Moldova,Divorce Rates,Socio-economic indicators,per '000 population,-,3.4,3.5,2.9,3.2,2.9,3.1
